@relation TrainingSet

@attribute Longitude numeric
@attribute Latitude numeric
@attribute Type {Reef,Tiger,Bull,White,Shark,Galapagos,Lemon,Whale,Gray,Mako,Nurse,Blue,Hammerhead,Porbeagle,Blacktip,Silky,Silvertip,Sandbar,Basking,Cow,Whitetip,Zebra}

@data
18.42322,-33.92584,Shark
-99.12766,19.42847,Bull
-122.31513,47.82093,Tiger
7.44744,46.94809,Reef
-87.65005,41.85003,Tiger
-2.97794,53.41058,Shark
114.01667,22.3,Shark
-101.85517,33.57786,Shark
-81.40952,28.29057,Shark
-74.00597,40.71427,Tiger
-117.99923,33.6603,Shark
-86.84656,21.17429,Whale
151.20732,-33.86785,Shark
18.42322,-33.92584,Shark
-117.55477,33.53419,Lemon
0,0,Shark
-43.2075,-22.90278,Shark
-95.36327,29.76328,White
-97.94211,35.94539,Shark
18.42322,-33.92584,Shark
-95.36327,29.76328,White
4.88969,52.37403,Reef
9.27246,45.58005,Shark
-87.65005,41.85003,Reef
4.88969,52.37403,Lemon
4.88969,52.37403,Lemon
-117.55477,33.53419,Lemon
4.88969,52.37403,Tiger
-82.99879,39.96118,Whale
7.44744,46.94809,Reef
0,0,Shark
-0.32719,51.06395,Reef
0,0,Reef
116.0724,5.9749,Shark
174.08333,-39.06667,Shark
18.42322,-33.92584,Shark
-0.12574,51.50853,Reef
-2.35622,49.43331,Silky
-85.79198,42.90725,Reef
9.18951,45.46427,Shark
4.88969,52.37403,Tiger
0,0,Shark
9.27246,45.58005,Blue
-79.4163,43.70011,Silvertip
8.35916,49.63278,Shark
8.35916,49.63278,Shark
8.35916,49.63278,Shark
8.35916,49.63278,Shark
10,62,Shark
0,0,White
